date,供暖面积（万平方米）,厂用电量（万度）,上网电量（万度）,发电量（万度）
2020/01/01 00:00:00,155,464.052,987.588,1451.64
2020/02/01 00:00:00,155,385.076,865.564,1250.64
2020/03/01 00:00:00,155,349.758,746.592,1096.35
2020/04/01 00:00:00,155,161.576,189.784,351.36
2020/05/01 00:00:00,155,88.704,122.136,210.84
2020/06/01 00:00:00,155,124.194,152.796,276.99
2020/07/01 00:00:00,155,142.544,203.896,346.44
2020/08/01 00:00:00,155,161.11,213.86,374.97
2020/09/01 00:00:00,155,142.08,236.1,378.18
2020/10/01 00:00:00,155,144.73,281.96,426.69
2020/11/01 00:00:00,155,333.37,1171.52,1504.89
2020/12/01 00:00:00,155,460.72,1335.26,1795.98
2021/01/01 00:00:00,180,491.576,1303.204,1794.78
2021/02/01 00:00:00,180,349.45,752.36,1101.81
2021/03/01 00:00:00,180,355.412,1010.128,1365.54
2021/04/01 00:00:00,180,96.246,120.624,216.87
2021/05/01 00:00:00,180,115.586,191.464,307.05
2021/06/01 00:00:00,180,135.06,96.54,231.6
2021/07/01 00:00:00,180,144.14,89.71,233.85
2021/08/01 00:00:00,180,138.72,81.96,220.68
2021/09/01 00:00:00,180,157.85,161.56,319.41
2021/10/01 00:00:00,180,168.44,189.7,358.14
2021/11/01 00:00:00,180,367.75,1196.3,1564.05
2021/12/01 00:00:00,180,473.42,1411.06,1884.48
2021/12/02 00:00:00,155,333.37,1171.52,1504.89
2021/12/03 00:00:00,155,460.72,1335.26,1795.98
2021/12/04 00:00:00,180,491.576,1303.204,1794.78
2021/12/05 00:00:00,180,349.45,752.36,1101.81
2023/11/01 00:00:00,180,367.75,1196.3,1564.05
2023/12/01 00:00:00,180,473.42,1411.06,1884.48
